Channel	        Frequency
3199.361328	323.263733
3198.657471	216.693283
3197.953613	259.275085
3197.249512	259.228699
3196.545410	244.980560
3195.841309	326.582336
3195.136719	337.171417
3194.432373	283.883026
3193.727539	298.023865
3193.022949	312.159607
3192.318115	297.917206
3191.613037	319.139893
3190.907715	315.537415
3190.202637	336.749329
3189.497070	294.159912
3188.791748	237.411896
3188.085938	304.683105
3187.380127	332.966125
3186.674316	293.949371
3185.968262	276.192108
3185.262207	325.706726
3184.555908	269.013916
3183.849365	304.355988
3183.142822	286.609528
3182.436279	336.086792
3181.729492	318.341003
3181.022461	321.820465
3180.315430	297.011841
3179.608398	300.493866
3178.901123	254.490387
3178.193604	279.182495
3177.486084	314.465698
3176.778320	321.474731
3176.070557	346.141541
3175.362549	402.582306
3174.654541	314.240387
3173.946289	331.834869
3173.238037	331.775421
3172.529541	374.062683
3171.821045	303.430420
3171.112305	384.511505
3170.403564	412.658539
3169.694580	373.794556
3168.985596	380.779022
3168.276367	391.286072
3167.567139	405.313782
3166.857666	444.003296
3166.147949	408.691650
3165.438232	429.753815
3164.728516	457.852264
3164.018555	397.907928
3163.308350	394.315887
3162.598145	390.725098
3161.887939	432.888000
3161.177246	443.366699
3160.466797	386.996735
3159.756104	432.655090
3159.045166	414.993011
3158.334229	418.434814
3157.623047	400.781616
3156.911865	439.374664
3156.200439	400.637787
3155.489014	404.079651
3154.777344	414.546448
3154.065674	396.909668
3153.353760	414.397644
3152.641846	431.879333
3151.929688	386.164215
3151.217285	421.194458
3150.504883	424.628143
3149.792480	442.095398
3149.079834	456.048279
3148.366943	448.951508
3147.654053	413.802856
3146.941162	431.259430
3146.228027	469.742981
3145.514648	385.540649
3144.801270	336.411407
3144.087646	437.957031
3143.374023	381.829926
3142.660156	416.785309
3141.946289	360.682129
3141.232178	409.633301
3140.518066	381.555634
3139.803711	395.486603
3139.089355	447.904327
3138.374756	381.349976
3137.660156	384.779449
3136.945313	458.154999
3136.230225	356.667267
3135.515137	374.083710
3134.800049	443.926086
3134.084717	440.351440
3133.369141	454.249176
3132.653564	429.712341
3131.937988	394.705383
3131.221924	387.649750
3130.506104	394.563477
3129.790039	422.421204
3129.073730	450.268890
3128.357422	481.596375
3127.640869	415.214935
3126.924316	505.843170
3126.207520	369.722290
3125.490479	428.940216
3124.773438	453.269897
3124.056396	404.383453
3123.339111	463.563141
3122.621826	414.692383
3121.904297	397.196869
3121.186523	372.740509
3120.468750	477.161316
3119.750732	390.017883
3119.032715	449.136169
3118.314697	511.714233
3117.596436	445.494080
3116.877930	424.535126
3116.159424	528.833801
3115.440674	438.296478
3114.721924	493.864258
3114.002930	514.639099
3113.283691	521.499756
3112.564697	535.309998
3111.845215	493.508667
3111.125732	531.642456
3110.406250	580.184937
3109.686523	562.712769
3108.966553	541.773987
3108.246582	611.122070
3107.526367	694.331848
3106.806152	749.743286
3106.085938	770.430664
3105.365479	822.338623
3104.644775	901.981140
3103.924072	957.315125
3103.203125	1054.244019
3102.481934	1071.390503
3101.760986	1154.397217
3101.039551	1122.994873
3100.318115	1115.861694
3099.596680	1084.477417
3098.875000	1004.606323
3098.153076	945.545105
3097.431152	907.282654
3096.709229	782.476746
3095.987061	889.647217
3095.264648	785.655701
3094.542236	709.384888
3093.819580	719.636353
3093.096924	743.720764
3092.374023	625.996155
3091.651123	695.041626
3090.927979	649.971436
3090.204590	663.680908
3089.481201	677.385376
3088.757813	656.530640
3088.034180	732.417786
3087.310547	673.564636
3086.586426	673.443115
3085.862549	690.586243
3085.138428	721.532410
3084.414063	780.080872
3083.689697	793.744324
3082.965088	831.555908
3082.240479	883.153076
3081.515625	1034.758179
3080.790771	972.497131
3080.065674	1110.239502
3079.340332	1189.327637
3078.614990	1261.493652
3077.889648	1299.172852
3077.164063	1333.392822
3076.438232	1408.938477
3075.712402	1529.231567
3074.986572	1546.173462
3074.260254	1504.578491
3073.534180	1555.942017
3072.807617	1562.544434
3072.081299	1613.878784
3071.354492	1641.111084
3070.627930	1651.134277
3069.900879	1661.153687
3069.173828	1729.625977
3068.446777	1749.941406
3067.719482	1759.937378
3066.991943	1869.595581
3066.264404	1944.852661
3065.536621	1899.839478
3064.808838	1913.235718
3064.081055	2002.180908
3063.352783	1988.084473
3062.624512	2022.055420
3061.896240	1970.203735
